raw_type,n_neurons,resolved_type,dominant_nt,param_source,fallback_target,gNa_mS_cm2,gK_mS_cm2,gLeak_mS_cm2,eNa_mV,eK_mV,eLeak_mV,n_compartment_solver_mean,n_swc_nodes_mean
aMe5,28,aMe5,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,32.714285714285715,1844.2142857142858
LMt2,27,LMt2,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,148.14814814814815,1461.6666666666667
LPi11,27,LPi11,gaba,nt:gaba,,2.574074,2.17037,1.7703702,50.0,-77.0,-51.703705,147.1851851851852,1559.2962962962963
MTe01b,27,MTe01b,acetylcholine,nt:acetylcholine,,3.500001,1.8999997,1.4999999,50.0,-77.0,-48.0,86.81481481481481,2121.925925925926
Sm19,27,Sm19,acetylcholine,nt:acetylcholine,,3.1481488,2.0037036,1.6037035,50.0,-77.0,-49.407406,39.48148148148148,1285.2962962962963
Tlp5,27,Tlp5,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,55.7037037037037,1242.7777777777778
cLP01,27,cLP01,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,12.962962962962964,874.2592592592592
LC20a,26,LC20a,acetylcholine,nt:acetylcholine,,3.5000005,1.8999997,1.4999999,50.0,-77.0,-48.0,40.38461538461539,1010.4615384615385
Li09,26,Li09,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,68.46153846153847,1551.6923076923076
Dm18,25,Dm18,gaba,nt:gaba,,2.54,2.188,1.7879999,50.0,-77.0,-51.84,85.36,1418.68
LCe03,25,LCe03,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999999,50.0,-77.0,-50.0,31.68,859.36
Pm06,25,Pm06,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,153.92,1947.92
Dm13,24,Dm13,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,78.25,1422.875
MLt7,24,MLt7,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,38.5,783.2083333333334
MTe03,24,MTe03,acetylcholine,nt:acetylcholine,,3.4166672,1.9166664,1.4999999,50.0,-77.0,-48.333332,35.166666666666664,1559.3333333333333
MTe52,24,MTe52,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,70.33333333333333,2013.875
Pm10,24,Pm10,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,130.83333333333334,1770.2916666666667
DmDRA1,23,DmDRA1,glutamate,nt:glutamate,,2.9782605,2.0086956,1.6086955,50.0,-77.0,-50.086956,21.217391304347824,738.8695652173913
LC20b,23,LC20b,glutamate,nt:glutamate,,3.0217388,1.9956521,1.595652,50.0,-77.0,-49.913044,122.78260869565217,1868.0434782608695
LC29,23,LC29,acetylcholine,nt:acetylcholine,,3.4565225,1.9086953,1.4999999,50.0,-77.0,-48.173912,35.30434782608695,1091.0434782608695
LCe01b,23,LCe01b,glutamate,nt:glutamate,,2.9999998,1.9999999,1.595652,50.0,-77.0,-50.0,50.08695652173913,1319.304347826087
LMt1,23,LMt1,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,90.52173913043478,1420.0869565217392
Sm22,23,Sm22,glutamate,nt:glutamate,,2.8695648,2.0521739,1.6521738,50.0,-77.0,-50.52174,62.08695652173913,1351.7826086956522
LPi08,22,LPi08,glutamate,nt:glutamate,,2.954545,2.0181818,1.6181816,50.0,-77.0,-50.18182,48.54545454545455,1018.1363636363636
Li08,22,Li08,gaba,nt:gaba,,2.5,2.1999998,1.7999997,50.0,-77.0,-52.0,22.272727272727273,1190.7272727272727
Sm21,22,Sm21,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,40.63636363636363,1561.3636363636363
Sm23,22,Sm23,gaba,nt:gaba,,2.5,2.1999998,1.7999997,50.0,-77.0,-52.0,29.363636363636363,1634.8181818181818
LPi10,21,LPi10,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,175.52380952380952,1899.857142857143
Li12,21,Li12,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,136.85714285714286,2043.2380952380952
LMa2,20,LMa2,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,359.1,3470.55
LMt4,20,LMt4,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,85.5,1026.6
LPTe01,20,LPTe01,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,31.1,1259.0
MeTu3a,20,MeTu3a,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,41.8,1965.95
Sm13,20,Sm13,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,40.9,1088.25
cLP03,20,cLP03,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,66.2,1652.85
LC27,19,LC27,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,32.526315789473685,839.2105263157895
Sm14,19,Sm14,glutamate,nt:glutamate,,2.973684,2.0105262,1.6105261,50.0,-77.0,-50.105263,22.210526315789473,897.7894736842105
LC40,18,LC40,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,37.333333333333336,1719.5555555555557
LCe04,18,LCe04,unknown,nt:unknown,,3.0555553,1.9888889,1.4999999,50.0,-77.0,-49.77778,21.333333333333332,1588.5
LMa3,18,LMa3,gaba,nt:gaba,,2.6666667,2.1333332,1.7333331,50.0,-77.0,-51.333332,241.33333333333334,3118.0555555555557
LMt3,18,LMt3,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,99.0,1406.111111111111
MTe04,18,MTe04,acetylcholine,nt:acetylcholine,,3.4166672,1.9166665,1.5166665,50.0,-77.0,-48.333332,32.666666666666664,1588.5
MeTu4d,18,MeTu4d,unknown,nt:unknown,,3.1944447,1.9611108,1.4999999,50.0,-77.0,-49.22222,9.88888888888889,1985.7777777777778
uncertain,18,uncertain,acetylcholine,nt:acetylcholine,,3.2222223,1.9555554,1.522222,50.0,-77.0,-49.11111,64.11111111111111,1357.111111111111
LC31a,17,LC31a,acetylcholine,nt:acetylcholine,,3.470589,1.905882,1.4999999,50.0,-77.0,-48.117645,70.23529411764706,1309.2941176470588
LC36,17,LC36,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,78.82352941176471,2886.4117647058824
LPi06,17,LPi06,glutamate,nt:glutamate,,2.9411762,2.0235293,1.6235292,50.0,-77.0,-50.235294,48.470588235294116,1520.5294117647059
Li16,17,Li16,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,130.7058823529412,1815.2941176470588
Sm18,17,Sm18,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,39.411764705882355,1691.1764705882354
LPi01,16,LPi01,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,28.875,526.5625
LT52,16,LT52,glutamate,nt:glutamate,,2.9687498,2.0125,1.6124998,50.0,-77.0,-50.125,158.0,2286.0625
Li04,16,Li04,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,22.125,737.0625
Li15,16,Li15,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,147.25,1689.625
Pm07,16,Pm07,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,151.375,2134.5
Pm11,16,Pm11,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,119.5,1507.6875
LC33,15,LC33,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5933331,50.0,-77.0,-50.0,72.93333333333334,1942.1333333333334
Li18,15,Li18,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,88.8,2045.7333333333333
Dm14,14,Dm14,glutamate,nt:glutamate,,2.9285712,2.0285714,1.6285713,50.0,-77.0,-50.285713,85.57142857142857,1697.142857142857
MLt8,14,MLt8,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,19.0,549.1428571428571
MeTu2b,14,MeTu2b,acetylcholine,nt:acetylcholine,,3.4642863,1.9071426,1.4999999,50.0,-77.0,-48.142857,21.142857142857142,1893.357142857143
Li14,13,Li14,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,128.46153846153845,1908.1538461538462
DmDRA2,12,DmDRA2,glutamate,nt:glutamate,,2.958333,2.0166667,1.6166664,50.0,-77.0,-50.166668,15.833333333333334,589.1666666666666
LC45,12,LC45,acetylcholine,nt:acetylcholine,,3.291667,1.9416665,1.4999999,50.0,-77.0,-48.833332,36.833333333333336,1308.3333333333333
LCe01a,12,LCe01a,glutamate,nt:glutamate,,3.0416667,1.9916664,1.5749998,50.0,-77.0,-49.833332,43.333333333333336,1567.5833333333333
MeTu4b,12,MeTu4b,acetylcholine,nt:acetylcholine,,3.458334,1.9083332,1.4999999,50.0,-77.0,-48.166668,24.0,1867.9166666666667
Sm30,12,Sm30,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,104.5,1957.4166666666667
Sm31,12,Sm31,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,96.0,2303.5
Dm19,11,Dm19,gaba,nt:gaba,,2.6818182,2.1272726,1.7272725,50.0,-77.0,-51.272728,218.54545454545453,3155.818181818182
LT51,11,LT51,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999999,50.0,-77.0,-50.0,215.27272727272728,2852.3636363636365
LT57,11,LT57,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,107.45454545454545,2245.2727272727275
Li21,11,Li21,gaba,nt:gaba,,2.5,2.1999998,1.7999997,50.0,-77.0,-52.0,315.45454545454544,2623.818181818182
MTe05,11,MTe05,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,31.09090909090909,1254.0
Li07,10,Li07,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,20.8,680.5
Sm26,10,Sm26,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,66.2,1336.5
LC37,9,LC37,glutamate,nt:glutamate,,2.9999998,1.9999998,1.5777775,50.0,-77.0,-50.0,77.11111111111111,1550.4444444444443
Sm25,9,Sm25,gaba,nt:gaba,,2.7222223,2.1111112,1.711111,50.0,-77.0,-51.11111,16.666666666666668,643.2222222222222
LCe05,8,LCe05,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5749998,50.0,-77.0,-50.0,26.25,612.5
LCe09,8,LCe09,unknown,nt:unknown,,3.125,1.9749999,1.4999999,50.0,-77.0,-49.5,9.5,1112.375
LTe64,8,LTe64,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,148.25,1536.375
Li22,8,Li22,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,167.5,1721.5
MTe06,8,MTe06,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,14.0,1119.0
cL01,8,cL01,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,59.75,1410.375
LC19,7,LC19,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,154.0,2464.5714285714284
LC34,7,LC34,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,77.71428571428571,1866.7142857142858
LC46,7,LC46,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,34.0,1412.142857142857
LPi03,7,LPi03,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,30.0,606.4285714285714
LTe09,7,LTe09,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,28.857142857142858,1343.7142857142858
MTe53,7,MTe53,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,34.0,1337.0
Sm27,7,Sm27,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,98.28571428571429,1555.7142857142858
APDN3,6,APDN3,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5499998,50.0,-77.0,-50.0,74.66666666666667,1871.5
LC41,6,LC41,acetylcholine,nt:acetylcholine,,3.3333337,1.933333,1.4999999,50.0,-77.0,-48.666668,32.0,1519.6666666666667
LC43,6,LC43,unknown,nt:unknown,,3.1666667,1.9666666,1.4999999,50.0,-77.0,-49.333332,33.0,1209.6666666666667
LCe06,6,LCe06,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,109.66666666666667,2367.8333333333335
LCe07,6,LCe07,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,132.33333333333334,2489.8333333333335
LPTe02,6,LPTe02,acetylcholine,nt:acetylcholine,,3.4166672,1.9166664,1.4999999,50.0,-77.0,-48.333332,16.666666666666668,1101.3333333333333
LTe58,6,LTe58,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,99.0,1732.8333333333333
Lat,6,Lat,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,42.666666666666664,1039.8333333333333
LatB,6,LatB,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,21.333333333333332,1457.5
Li24,6,Li24,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,378.3333333333333,4369.333333333333
MTe08,6,MTe08,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,96.33333333333333,1994.5
PDt,6,PDt,da,nt:da,,2.9999998,1.9999999,1.4999999,50.0,-77.0,-50.0,153.66666666666666,4403.666666666667
Sm17,6,Sm17,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,57.333333333333336,923.6666666666666
Sm34,6,Sm34,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,87.0,2159.5
Sm43,6,Sm43,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,18.666666666666668,934.8333333333334
LC31b,5,LC31b,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,149.6,1791.0
LT81,5,LT81,acetylcholine,nt:acetylcholine,,3.4000003,1.9199997,1.4999999,50.0,-77.0,-48.4,26.4,2100.2
LTe68,5,LTe68,unknown,nt:unknown,,3.1,1.9799999,1.4999999,50.0,-77.0,-49.6,52.4,1973.8
Sm29,5,Sm29,glutamate,nt:glutamate,,2.9999998,1.9999998,1.5999998,50.0,-77.0,-50.0,64.0,1139.6
aMe4,5,aMe4,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,91.2,1949.4
Dm17,4,Dm17,glutamate,nt:glutamate,,2.8749998,2.05,1.6499999,50.0,-77.0,-50.5,588.0,4848.0
LC35,4,LC35,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,173.0,2463.25
LC39,4,LC39,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,160.5,1899.5
LCe08,4,LCe08,unknown,nt:unknown,,2.9999998,1.9999999,1.5249999,50.0,-77.0,-50.0,26.5,1648.5
LPT31,4,LPT31,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,194.5,4321.75
LT53,4,LT53,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,210.5,2720.75
LT70,4,LT70,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,12.0,1208.5
LT78,4,LT78,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,182.5,2058.0
LTe38a,4,LTe38a,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,86.0,2086.25
LTe43,4,LTe43,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,78.5,1599.25
LTe65,4,LTe65,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,130.5,1600.5
Li26,4,Li26,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,383.5,3719.75
MTe09,4,MTe09,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,40.0,1677.0
MTe10,4,MTe10,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5749998,50.0,-77.0,-50.0,29.5,1993.25
Sm11,4,Sm11,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,35.5,1011.25
Sm24,4,Sm24,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,47.0,1256.25
VST2,4,VST2,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,186.0,1561.75
cL02b,4,cL02b,gaba,nt:gaba,,2.75,2.1,1.6999998,50.0,-77.0,-51.0,19.5,796.5
cL03,4,cL03,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,12.5,866.0
s-LNv,4,s-LNv,unknown,nt:unknown,,2.9999998,1.9999999,1.4999999,50.0,-77.0,-50.0,16.0,66.5
AN_multi_124,3,AN_multi_124,acetylcholine,nt:acetylcholine,,3.1666667,1.9666666,1.4999999,50.0,-77.0,-49.333332,100.66666666666667,1438.0
LLPC4,3,LLPC4,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,54.666666666666664,1099.0
LPT23,3,LPT23,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,744.6666666666666,4936.666666666667
LT77,3,LT77,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,218.66666666666666,2233.3333333333335
LT82,3,LT82,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,507.3333333333333,4504.666666666667
LTe32,3,LTe32,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,108.66666666666667,1932.6666666666667
LTe49c,3,LTe49c,acetylcholine,nt:acetylcholine,,3.3333337,1.933333,1.4999999,50.0,-77.0,-48.666668,38.0,1504.0
LTe63,3,LTe63,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,49.333333333333336,1406.0
LTe66,3,LTe66,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,59.333333333333336,1300.0
Li20,3,Li20,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,194.66666666666666,2863.6666666666665
MC65,3,MC65,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,118.66666666666667,2220.6666666666665
MTe11,3,MTe11,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5666665,50.0,-77.0,-50.0,63.333333333333336,1663.6666666666667
MTe12,3,MTe12,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,106.0,1922.0
MTe13,3,MTe13,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,178.0,2095.3333333333335
Sm28,3,Sm28,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,74.0,1445.0
Sm33,3,Sm33,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,36.666666666666664,860.6666666666666
Sm35,3,Sm35,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,65.33333333333333,2788.3333333333335
Sm36,3,Sm36,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,416.0,4021.0
aMe12,3,aMe12,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,185.33333333333334,4230.333333333333
aMe26,3,aMe26,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,76.66666666666667,3761.6666666666665
cL02a,3,cL02a,gaba,nt:gaba,,2.6666667,2.1333332,1.7333331,50.0,-77.0,-51.333332,16.0,593.3333333333334
cL02c,3,cL02c,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,31.333333333333332,947.3333333333334
cL18,3,cL18,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,268.0,3056.6666666666665
cLLPM01,3,cLLPM01,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,28.666666666666668,1022.6666666666666
cM03,3,cM03,da,nt:da,,2.9999998,1.9999999,1.5333332,50.0,-77.0,-50.0,76.66666666666667,1406.0
cM04,3,cM04,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,23.333333333333332,889.6666666666666
cM08c,3,cM08c,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,139.33333333333334,2557.0
cM09,3,cM09,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,132.0,2251.0
CB3089,2,CB3089,unknown,nt:unknown,,2.9999998,1.9999999,1.4999999,50.0,-77.0,-50.0,75.0,1896.0
DN1a,2,DN1a,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5499998,50.0,-77.0,-50.0,29.0,732.5
LC10f,2,LC10f,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,92.0,1604.5
LC44,2,LC44,acetylcholine,nt:acetylcholine,,3.2500002,1.9499998,1.4999999,50.0,-77.0,-49.0,35.0,1331.0
LM102a_L234-M89,2,LM102a_L234-M89,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,44.0,285.0
LPi14,2,LPi14,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,1211.0,8560.5
LT38,2,LT38,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,142.0,1920.5
LT43,2,LT43,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,122.0,1576.5
LT63,2,LT63,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,289.0,4118.0
LT64,2,LT64,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,139.0,1853.5
LT68,2,LT68,gaba,nt:gaba,,2.75,2.1,1.6999998,50.0,-77.0,-51.0,51.0,1609.0
LT73,2,LT73,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,65.0,1612.5
LT74,2,LT74,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,210.0,4813.0
LT80,2,LT80,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,117.0,1747.5
LTe01,2,LTe01,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,220.0,4650.5
LTe02,2,LTe02,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,94.0,1687.5
LTe03,2,LTe03,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,188.0,3112.5
LTe33,2,LTe33,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,75.0,2154.5
LTe37,2,LTe37,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,2.0,3597.0
LTe38b,2,LTe38b,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,92.0,2304.5
LTe47,2,LTe47,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5499998,50.0,-77.0,-50.0,40.0,1109.0
LTe49a,2,LTe49a,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,154.0,1901.5
LTe49b,2,LTe49b,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,20.0,1483.5
LTe49d,2,LTe49d,acetylcholine,nt:acetylcholine,,3.2500002,1.9499998,1.4999999,50.0,-77.0,-49.0,30.0,1306.5
LTe49f,2,LTe49f,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,57.0,1717.5
LTe50,2,LTe50,gaba,nt:gaba,,2.75,2.1,1.6999998,50.0,-77.0,-51.0,104.0,1973.5
LTe54,2,LTe54,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,85.0,1034.0
LTe67,2,LTe67,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,46.0,1897.0
Li124_56,2,Li124_56,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,14.0,1265.5
Li19,2,Li19,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,378.0,3557.0
Li25,2,Li25,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,512.0,3281.0
Li27,2,Li27,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,1218.0,6554.5
Li28,2,Li28,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,676.0,6700.0
MTe14,2,MTe14,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,73.0,1669.0
MTe15,2,MTe15,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,52.0,2401.0
MTe16,2,MTe16,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,83.0,2312.0
MTe17,2,MTe17,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,133.0,2867.5
Nod1,2,Nod1,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,249.0,3584.5
OA-AL2i2,2,OA-AL2i2,oct,nt:oct,,2.9999998,1.9999999,1.4999999,50.0,-77.0,-50.0,356.0,1522.0
